"Field Name","IQ Field","Type","Beg","Size","End","Description","Validated","Required","Default Value","Notes"
"Allow-Matl-Trans",,"Text",454,1,454,"Flag - Allow Material Transactions",,"Yes*","No (0)","0=No, 1=Yes (Required if used as a Planner item)"
"Allow-FG-Orders-Flag",,"Text",455,1,455,"Flag - Allow FG Orders",,,"No (0)","0=No, 1=Yes  Finished Goods item types only"
"Taxable-Flag",,"Text",456,1,456,"Flag - Taxable Item",,,"No (0)","0=No, 1=Yes  Finished Goods item types only"
"Track-By-Warehouse-Flag",,"Text",457,1,457,"Flag - Track by Warehouse",,,"No (0)","0=No, 1=Yes"
"Track-By-Bin-Flag",,"Text",458,1,458,"Flag - Track by Bin Location",,,"No (0)","0=No, 1=Yes"
"Track-By-Lot-Flag",,"Text",459,1,459,"Flag - Track by Lot",,,"No (0)","0=No, 1=Yes"
"Track-By-Tag-Flag",,"Text",460,1,460,"Flag - Track by Tag",,,"No (0)","0=No, 1=Yes"
"Track-By-Receipt-Flag",,"Text",461,1,461,"Flag - Track by Receipt",,,"No (0)","0=No, 1=Yes"
"Track-By-FG-Job-Flag",,"Text",462,1,462,"Flag - Track by FG Job",,,"No (0)","0=No, 1=Yes  Finished Goods item types only"
"Track-By-Package-Flag",,"Text",463,1,463,"Flag - Track by Package",,,"No (0)","0=No, 1=Yes  Finished Goods item types only"
"Track-By-Carton-Flag",,"Text",464,1,464,"Flag - Track by Carton",,,"No (0)","0=No, 1=Yes  Finished Goods item types only"
"Track-By-Skid-Flag",,"Text",465,1,465,"Flag - Track by Skid",,,"No (0)","0=No, 1=Yes  Finished Goods item types only"
"Kit-Type",,"Text",466,12,477,"Kit Type",,"Yes*",,"N/A, Pre-build, or Unassembled.  Required for Finished Goods item types."
"Sales-Class",,"Text",478,8,485,"Sales Class","Yes","Yes*",,"Required for Finished Goods item types."
"Print-Default-Warehouse",,"Text",486,1,486,"Print Default Warehouse",,,"No (0)","0=No, 1=Yes Finished Goods item types only"
"Print-Default-Bin",,"Text",487,1,487,"Print Default Bin",,,"No (0)","0=No, 1=Yes Finished Goods item types only"
"Print-Receipt-Detail",,"Text",488,1,488,"Print Receipt Detail",,,"No (0)","0=No, 1=Yes Finished Goods item types only"
"Qty-Per-Package",,"Text",489,10,498,"Quantity per Package",,,,"Finished Goods item types only"
"Qty-Per-Carton",,"Text",499,10,508,"Quantity per Carton",,,,"Finished Goods item types only"
"Qty-Per-Skid",,"Text",509,10,518,"Quantity per Skid",,,,"Finished Goods item types only"
"Allow-Partial-Pkg-Flag",,"Text",519,1,519,"Flag - Allow Partial Packages",,,"Yes (1)","0=No, 1=Yes  Finished Goods item types only"
"Allow-Partial-Ctn-Flag",,"Text",520,1,520,"Flag - Allow Partial Cartons",,,"Yes (1)","0=No, 1=Yes  Finished Goods item types only"
"Allow-Partial-Skid-Flag",,"Text",521,1,521,"Flag - Allow Partial Skids",,,"Yes (1)","0=No, 1=Yes  Finished Goods item types only"
"Default-PO-Unit-Cost","my %p = $Object->get_price( 1 ); return $p{Cost};","Text",522,16,537,"Default PO Unit Cost",,,,"Maximum 4 decimal places; Format = ZZ,ZZZ,ZZZ,ZZ9.9999"
"Standard-Unit-Cost","my %p = $Object->get_price( 1 ); return $p{Cost};","Text",538,16,553,"Standard Unit Cost",,,,"Maximum 4 decimal places; Format = ZZ,ZZZ,ZZZ,ZZ9.9999"
